"Year","Month","Date","GTA","Nino1.2SST","Nino1.2SSTAnomalies","Nino3SST","Nino3SSTAnomalies","Nino3.4SST","Nino3.4SSTAnomalies","Nino4SST","Nino4SSTAnomalies","TNI","PNA","OLR","SOI","Season.2.Month.","MEI.v2","Season.3.Month.","ONI","Season.12.Month.","ENSO","SUBDIVISION","Precipitation"
1950,"DEC","12/1/1950",-0.12,NA,NA,NA,NA,NA,NA,NA,NA,1.239,-0.28,NA,NA,"ND",NA,"NDJ",-0.8,"1950-1951","ML","Arunachal Pradesh",43.9
1950,"DEC","12/1/1950",-0.12,NA,NA,NA,NA,NA,NA,NA,NA,1.239,-0.28,NA,NA,"ND",NA,"NDJ",-0.8,"1950-1951","ML","East Madhya Pradesh",22.6
1950,"DEC","12/1/1950",-0.12,NA,NA,NA,NA,NA,NA,NA,NA,1.239,-0.28,NA,NA,"ND",NA,"NDJ",-0.8,"1950-1951","ML","Kerala",8.8
1950,"DEC","12/1/1950",-0.12,NA,NA,NA,NA,NA,NA,NA,NA,1.239,-0.28,NA,NA,"ND",NA,"NDJ",-0.8,"1950-1951","ML","North Interior Karnataka",0
1950,"DEC","12/1/1950",-0.12,NA,NA,NA,NA,NA,NA,NA,NA,1.239,-0.28,NA,NA,"ND",NA,"NDJ",-0.8,"1950-1951","ML","Andaman & Nicobar Islands",169.4
1950,"DEC","12/1/1950",-0.12,NA,NA,NA,NA,NA,NA,NA,NA,1.239,-0.28,NA,NA,"ND",NA,"NDJ",-0.8,"1950-1951","ML","Saurashtra & Kutch",0
1950,"DEC","12/1/1950",-0.12,NA,NA,NA,NA,NA,NA,NA,NA,1.239,-0.28,NA,NA,"ND",NA,"NDJ",-0.8,"1950-1951","ML","Sub Himalayan West Bengal & Sikkim",0.3
1950,"DEC","12/1/1950",-0.12,NA,NA,NA,NA,NA,NA,NA,NA,1.239,-0.28,NA,NA,"ND",NA,"NDJ",-0.8,"1950-1951","ML","Rayalseema",0.2
1950,"DEC","12/1/1950",-0.12,NA,NA,NA,NA,NA,NA,NA,NA,1.239,-0.28,NA,NA,"ND",NA,"NDJ",-0.8,"1950-1951","ML","Orissa",0
1950,"DEC","12/1/1950",-0.12,NA,NA,NA,NA,NA,NA,NA,NA,1.239,-0.28,NA,NA,"ND",NA,"NDJ",-0.8,"1950-1951","ML","Bihar",2.1
1950,"DEC","12/1/1950",-0.12,NA,NA,NA,NA,NA,NA,NA,NA,1.239,-0.28,NA,NA,"ND",NA,"NDJ",-0.8,"1950-1951","ML","West Uttar Pradesh",14.8
1950,"DEC","12/1/1950",-0.12,NA,NA,NA,NA,NA,NA,NA,NA,1.239,-0.28,NA,NA,"ND",NA,"NDJ",-0.8,"1950-1951","ML","Matathwada",1.6
1950,"DEC","12/1/1950",-0.12,NA,NA,NA,NA,NA,NA,NA,NA,1.239,-0.28,NA,NA,"ND",NA,"NDJ",-0.8,"1950-1951","ML","East Rajasthan",0.7
1950,"DEC","12/1/1950",-0.12,NA,NA,NA,NA,NA,NA,NA,NA,1.239,-0.28,NA,NA,"ND",NA,"NDJ",-0.8,"1950-1951","ML","Coastal Andhra Pradesh",0.3
1950,"DEC","12/1/1950",-0.12,NA,NA,NA,NA,NA,NA,NA,NA,1.239,-0.28,NA,NA,"ND",NA,"NDJ",-0.8,"1950-1951","ML","Punjab",0.1
1950,"DEC","12/1/1950",-0.12,NA,NA,NA,NA,NA,NA,NA,NA,1.239,-0.28,NA,NA,"ND",NA,"NDJ",-0.8,"1950-1951","ML","Vidarbha",11.9
1950,"DEC","12/1/1950",-0.12,NA,NA,NA,NA,NA,NA,NA,NA,1.239,-0.28,NA,NA,"ND",NA,"NDJ",-0.8,"1950-1951","ML","Jharkhand",3.7
1950,"DEC","12/1/1950",-0.12,NA,NA,NA,NA,NA,NA,NA,NA,1.239,-0.28,NA,NA,"ND",NA,"NDJ",-0.8,"1950-1951","ML","Lakshadweep",99.7
1950,"DEC","12/1/1950",-0.12,NA,NA,NA,NA,NA,NA,NA,NA,1.239,-0.28,NA,NA,"ND",NA,"NDJ",-0.8,"1950-1951","ML","Gujarat Region",0
1950,"DEC","12/1/1950",-0.12,NA,NA,NA,NA,NA,NA,NA,NA,1.239,-0.28,NA,NA,"ND",NA,"NDJ",-0.8,"1950-1951","ML","West Madhya Pradesh",16.9
1950,"DEC","12/1/1950",-0.12,NA,NA,NA,NA,NA,NA,NA,NA,1.239,-0.28,NA,NA,"ND",NA,"NDJ",-0.8,"1950-1951","ML","Chhattisgarh",0
